Faculty Name,Categories,All Keywords
Ariana Ghahari,"Economics, Healthcare, Humanities & Cultural Studies",Colonial Urban History; Urban History; Environmental History; South Asian Studies; Water History; Global History; Archival Research; Historical GIS; Spatial Analysis; Textual Analysis; Ethnohistorical Methods; Urban Planning; Water Management; Public Health; Heritage Conservation; Infrastructure Policy; Socio-Hydrology; Postcolonial Urban Ecology; Caste and Water Studies; Socio-Cultural Water Management; Hygienic City Concept
Asiel Sepulveda,Humanities & Cultural Studies,Print Culture History; Latin American Studies; Caribbean Visual Culture; Global Art Histories; Archival Research; Visual Content Analysis; Lithographic Analysis; Material Culture Study; Museum Curation; Cultural Heritage Preservation; Historical Publishing; Art Education Programs; Transregional Print Networks; Print-based Cosmopolitanism; Colonial Caribbean Imaginaries; Print Media and Identity
Aubrey Crosby,"Accounting, Economics, Humanities & Cultural Studies, Marketing, Technology",Discourse Analysis; Applied Sociolinguistics; Media Representation; Protest Reporting; News Coverage Studies; Critical Discourse Analysis; Qualitative Content Analysis; Digital Ethnography; Media Literacy Assessment; Journalism Education; Media Literacy Training; Social Movement Communication; Education Policy; Algorithmic Media Analysis; Misinformation Studies; Digital Activism; Social Media Discourse
Benjamin Levy,"Data, Operations & Supply Chain, Healthcare, Technology",Applied Mathematics; Mathematical Biology; Epidemiology; Ecological Modeling; Wildlife Population Dynamics; Compartmental Modeling; Numerical Simulation; Identifiability Analysis; Parameter Estimation; Data-Driven Modeling; Wildlife Conservation; Fisheries Management; Public Health Surveillance; Natural Resource Management; One Health Modeling; Eco-Epidemiology; Data-Driven Ecological Forecasting; Quantitative Biology
Benjamin Spigel,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Technology",Entrepreneurial Ecosystems; Economic Geography; Regional Development; Entrepreneurship Theory; Innovation Policy; Case Study; Comparative Analysis; Social Network Analysis; Spatial Analysis; Conceptual Modeling; Fintech; Business Accelerators; High-Growth Startups; Traditional Manufacturing; University Spin-Offs; Emotional Leadership; Crisis Management; Policy Mobility; Ecosystem Nestedness; Venture Acceleration
Beth Goldstein,"Entrepreneurship, Entrepreneurship & Small Ventures, Marketing, Technology",Entrepreneurship Education; Experiential Learning; Adult Learning; Social Equity; Entrepreneurial Mindset; Entrepreneurial Marketing; Case Study Method; Experiential Training; Online Learning Platforms; Accelerator Programs; Venture Competitions; Business Coaching; Cannabis Entrepreneurship; Urban Economic Development; Supplier Diversity; NGO Capacity Building; Corporate Training; Higher Education; Entrepreneurial Grit; Purpose-Driven Organizations; Digital Accelerator Models; Youth Entrepreneurship; Cannabis Social Equity
Beth Wynstra,"Humanities & Cultural Studies, Technology",Modern Drama; American Theatre; Performance Studies; Political Theatre; Rhetorical Theory; Gender Studies; Archival Research; Textual Analysis; Performance Ethnography; Dramaturgical Methods; Transdisciplinary Research; Theater Production; Arts Education; Community Engagement; LGBTQ Advocacy; Performing Arts Management; Digital Theatre; Queer Performance Studies; Pandemic Theatre Practices; Performance and Social Justice; Intersectional Performance
Betsy Komjathy,"Entrepreneurship, Leadership & Organizational Development, Technology",Business communication; Organizational communication; Leadership development; Coaching psychology; Communication pedagogy; Workshop facilitation; Instructional design; Qualitative feedback; Presentation software; Research-based frameworks; Corporate training; Pitch coaching; Executive coaching; Student development; Entrepreneurship education; Virtual presentation coaching; Digital communication; Hybrid learning; Pitch analytics; AI-driven feedback
Bill Pacheco,"Data, Operations & Supply Chain, Finance, Healthcare, Operations, Retail, Technology",Operations Management; Supply Chain Management; Information Systems; Business Process Optimization; Service Operations Management; Data Analytics; Simulation Modeling; Lean Six Sigma; Machine Learning; Enterprise Resource Planning; Healthcare Operations; Manufacturing Logistics; Retail Supply Chains; Financial Services Operations; E-commerce Fulfillment; Industry 4.0 Technologies; Digital Transformation; Internet of Things; Blockchain in Supply Chain; Artificial Intelligence
Bob Halsey,"Accounting, Accounting, Law & Governance, Finance, Sustainability, Technology",Financial Accounting; Advanced Accounting; Financial Statement Analysis; Pro Forma Accounting; Sustainability Reporting; Accounting Education; Pro Forma Modeling; Financial Forecasting; Budget Modeling; Ratio Analysis; Case Method Teaching; Corporate Financial Reporting; Investment Analysis; Budget Planning; Management Accounting; Financial Services; Integrated Reporting; ESG Reporting; Sustainability Accounting; Digital Financial Reporting
Bojan Amovic,"Data, Operations & Supply Chain, Healthcare, Law, Operations, Technology",Innovation management; Operations management; Quantitative analysis; Intellectual property strategy; Predictive simulation modeling; Simulation-based optimization; Quantitative modeling; Decision support systems; Predictive analytics; Electronic consumables; Medical device development; Defense industry operations; Telecommunications network management; Engineering program management; Quantitative legal modeling; Techno-legal integration; Intellectual property analytics; Regulatory simulation modeling; Predictive legal analytics
Borbala Mahr,"Economics, Entrepreneurship, Finance, Finance & Economics, Healthcare, Marketing, Sustainability, Technology",Labor Economics; Gender Economics; Environmental Economics; Development Economics; Health Economics; Panel Survey Analysis; Econometric Modeling; Structural Analysis; Regression Analysis; Counterfactual Simulation; Energy Subsidy Reform; Labor Market Policy; Public Health Interventions; Entrepreneurship Promotion; Environmental Risk Management; Climate Epidemiology; Socio-Ecological Systems; Gendered Pandemic Effects; Environmental Justice; Early-Life Exposure Studies
Brad Johnson,"Data, Operations & Supply Chain, Entrepreneurship, Operations, Retail, Technology",Operations management; Supply chain management; E-commerce strategy; Entrepreneurship; International business; Blockchain adoption; Game theoretic modeling; Inventory optimization; Fulfillment network design; Order fulfillment automation; E-commerce fulfillment; Multi-channel retail; Private label credit; Corporate training services; Precious metals distribution; Online grocery delivery; Blockchain traceability; Game theoretic supply chains; Digital platform ecosystems; Retail fintech integration; On-demand logistics
Bradley George,"Entrepreneurship, Entrepreneurship & Small Ventures, Technology",Entrepreneurship Education; Strategic Management; Sustainable Entrepreneurship; Environmental Entrepreneurship; Corporate Entrepreneurship; Research Methodology; Case Study Research; Strategic Decision-Making; Early Venture Analysis; Small Food Businesses; Venture Capital Firms; Family Businesses; Diesel Engine Industry; Executive Education; Impact Investing; Social Innovation; Circular Economy; Clean Technology; Counterintuitive Leadership
Brandon Schmidt,"Data, Operations & Supply Chain, Technology",Mathematics; Data Analytics; STEM Education; Quantitative Research; Statistical Modeling; Data Visualization; Machine Learning; Computational Simulation; Educational Technology; Business Analytics; Academic Program Development; Learning Analytics; Educational Data Mining; AI in Education
Bret Bero,"Finance, Healthcare, Innovation & Strategy, Marketing, Technology",Strategic Management; Organizational Change; Business Turnaround; Private Equity; Management Consulting; Financial Due Diligence; Operational Improvement Frameworks; Acquisition Integration; Strategic Problem Solving; Turnaround Methodologies; Hospitality Industry; Healthcare Sector; Manufacturing Industry; Technology Sector; Financial Services; Consumer Goods; Disruptive Change; Business Transformation; Executive Transition Planning; Alliance Management
Brigitte Muehlmann,"Accounting, Accounting, Law & Governance, Entrepreneurship, Finance, Sustainability, Technology",Financial Reporting; Sustainability Reporting; Accounting Education; Forensic Accounting; Taxation Research; Intellectual Property Accounting; Text Mining; Bibliometric Analysis; Data Analytics; Statistical Analysis; Patent Analytics; Corporate Taxation; Intangible Asset Valuation; Internal Auditing; CFO Advisory; Entrepreneurial Services; AI in Accounting; Business Method Patenting; ESG Technology Integration; Technology Agility
Bruce Herzfelder,"Economics, Entrepreneurship, Finance, Finance & Economics, Law, Marketing, Technology",Corporate Finance; Corporate Valuation; Real Options; Venture Capital; Regulatory Economics; Real Options Valuation; Option Pricing Models; Econometric Modeling; Discounted Cash Flow Analysis; Equity Duration Analysis; Utility Regulation; IT Venture Capital; Higher Education Finance; Employee Stock Ownership; Emerging Markets Finance; 
Bryan Kanney,Leadership & Organizational Development,; ; ; 
Candace Famiglietti,"Accounting, Law & Governance, Economics, Law, Marketing, Sustainability",Global environmental governance; Human security; International environmental law; Gender and environment; Indigenous rights; Discourse analysis; Stakeholder analysis; Qualitative interviews; Comparative case studies; Policy analysis; Wildlife trafficking prevention; Waste management policy; Corporate sustainability; Environmental policy consulting; NGO program implementation; Intersectional environmental governance; Illegal wildlife trade governance; Waste crime governance; Gendered consumption studies; Consumer–environment interactions
Candida Brush,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare",Entrepreneurship; Women Entrepreneurship; Entrepreneurial Finance; Healthcare Entrepreneurship; Entrepreneurship Education; Survey Research; Content Analysis; Longitudinal Study; Mixed Methods; Comparative Analysis; Angel Investment; Venture Capital Funding; Healthcare Ventures; Food Entrepreneurship; Small Business Development; CleanTech Entrepreneurship; Race and Entrepreneurship; Sustainable Entrepreneurship; COVID-19 Entrepreneurship; Gendered Pitching Dynamics
Caroline Daniels,"Entrepreneurship, Entrepreneurship & Small Ventures, Sustainability, Technology",Entrepreneurial Strategy; Strategic Foresight; Environmental Sustainability; Fashion Entrepreneurship; Business Analytics; Data Analytics; Climate Simulation Modeling; Design Thinking; Case Study Research; Scenario Planning; Sustainable Supply Chains; Global Business Strategy; New Venture Acceleration; Sustainable Fashion Industry; Entrepreneurial Ecosystems; Circular Fashion Economy; Climate Entrepreneurship; Scalable Venture Models; Executive Decision-Making
Caroline Owens,Leadership & Organizational Development,; ; ; 
Charles Winrich,"Humanities & Cultural Studies, Technology",Astrophysics; Physics Education; History of Science; Science Literacy; Philosophy of Physics; Historical case studies; Service-learning pedagogy; Curriculum development; Qualitative research methods; Science fiction media analysis; Semiconductor manufacturing; Teacher professional development; Educational outreach programs; Science curriculum development; Service-learning programs; History-integrated STEM education; Science fiction pedagogy; Socio-ecological systems education; Digital humanities in physics
Cheryl Kirshner,"Accounting, Law & Governance, Economics, Healthcare, Law, Technology",International Trade Law; Intellectual Property Law; Health Law; Business Law Education; Doctrinal Legal Analysis; Comparative Legal Analysis; Case Study Method; Scholarly Publication; Tobacco Regulation; Public Health Policy; International Trade Compliance; Higher Education Sector; Tobacco Plain Packaging; Health Data Privacy; TRIPS Article 20 Disputes; Legal Profession Studies
Cheryl Heller,"Data, Operations & Supply Chain, Finance, Healthcare, Operations, Technology",Operations Management; Information Management; Business Analytics; Service Operations; Data Analytics; Simulation Modeling; Decision Support Systems; Process Mining; Supply Chain Management; Healthcare Operations; Financial Services; Manufacturing Systems; Digital Transformation; Industry 4.0; AI in Operations; Blockchain Technology
Cheryl Kiser,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Sustainability",corporate social responsibility; sustainability management; entrepreneurial education; social entrepreneurship; return on investment analysis; program evaluation; qualitative case studies; corporate sustainability initiatives; small business development; CSR strategy implementation; social enterprise management; shared value creation; entrepreneurial ecosystems; cross-sector collaboration; impact measurement
Christopher Hennessey,"Accounting, Finance, Finance & Economics, Technology",Financial Planning; Estate Planning; Wealth Management; Investment Strategies; Accounting Standards; Financial Modeling; Quantitative Analysis; Portfolio Optimization; Risk Assessment; Valuation Methods; Private Wealth Management; Estate Administration; Financial Advisory Services; Retirement Planning; Trust Services; FinTech Adoption; Blockchain Estate Transfers; Robo-Advisory Services; Sustainable Finance; RegTech Solutions
Clare Huang,"Economics, Entrepreneurship, Finance, Innovation & Strategy, Marketing, Technology",Business strategy; Marketing management; Sales management; Customer experience management; Innovation management; IT planning; Operational modeling; Digital technology adoption; Mobile app development; Cloud computing; Cloud services; Mobile applications; Social media platforms; Venture capital; IT consulting; Financial services; AI ethics; Digital entrepreneurship; Corporate communications policy; Insider information management
Craig Bida,"Entrepreneurship, Entrepreneurship & Small Ventures",Entrepreneurship Education; Venture Creation; Small Business Management; ; ; 
Cristina Alberti,"Accounting, Accounting, Law & Governance, Finance, Operations, Technology",Auditing; Financial Accounting; Organizational Culture; Accounting Academia; Accounting Education; Qualitative Research; Case Study Methodology; Thematic Analysis; Data Cleaning; Spreadsheet Analytics; Public Company Audits; Technology Industry; Aerospace & Defense; Accounting Firm Operations; Online Toxic Communication; Academic Job Market; Inclusive Hiring Practices; Equity in Academia
Daniel Auguste,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Technology",social stratification; entrepreneurship studies; organizational sociology; economic inequality; new venture creation; empirical analysis; cross-national comparative analysis; quantitative survey methods; stratification modeling; entrepreneurial ecosystem development; venture growth strategies; poverty reduction initiatives; workforce reskilling programs; SME scaling strategies; entrepreneurial inequality studies; gendered capitalism; policy spillover effects; religious socioeconomic mobility
Daniel Eccles,"Entrepreneurship, Finance, Finance & Economics, Law, Marketing, Technology",International Finance; Derivatives; Capital Markets; Emerging Markets; Asset Securitization; Foreign Exchange Risk; Econometric Analysis; Quantitative Modeling; Risk Management; Derivative Pricing; Financial Time Series Analysis; Latin American Markets; Stock Market Regulation; Entrepreneurial Finance; Institutional Investment; Portfolio Management; Blockchain Finance; Crypto Crowdfunding; FinTech Innovation; Digital Asset Markets
Daniel Rice,"Data, Operations & Supply Chain, Operations, Sustainability, Technology",Computer Vision; Human Factors Engineering; Machine Learning; Semantic Segmentation; Scene Understanding; Generative Models; Object-Aware Clustering; Depth Estimation; 2D Image Analysis; Respirator Fit Modeling; Respirator Fit Assessment; Personal Protective Equipment; Multi-Domain Operations; Workplace Safety; Contested Environment Analysis; Generative Semantic Segmentation; Depth-Aware Scene Understanding; AI for Multi-Domain Operations; Image-Based PPE Design
David Blodgett,"Leadership & Organizational Development, Sustainability",Diabetes Research; Molecular Biology; Biotechnology; Genetics; Immunology; Sustainable Food Systems; Humanized Mouse Models; Endocrine Cell Isolation; Transcriptome Analysis; Proteomic Analysis; Antigen Presentation Assays; Diabetes Therapeutics; Regenerative Medicine; Pharmaceutical Industry; Sustainable Agriculture; Interdisciplinary Sustainability Education; Socio-Ecological Systems; Systems Thinking; Humanized Diabetes Models
David Kerrigan,"Entrepreneurship, Leadership & Organizational Development",organizational behavior; higher education leadership; critical race theory; diversity equity inclusion; entrepreneurship education; curriculum design; online learning platforms; qualitative interviews; action research; program evaluation; corporate diversity training; faculty professional development; student venture programs; K-12 educational resources; actionable allyship; inclusive pedagogy frameworks; DEIJ training platforms; inclusive leadership development
David Nersessian,"Accounting, Law & Governance, Finance, Law, Operations, Sustainability, Technology",Public international law; Human rights law; Business law; Legal ethics; Corporate governance; Integrated sustainability; Machine learning; Artificial intelligence; Systems thinking; Digital platform design; Risk management frameworks; Nonprofit digital platforms; Corporate dispute resolution; Global supply chain compliance; Higher education governance; Sustainable development engagement; Ethical AI development; Human rights due diligence; Sustainability in education; Social sharing economy; Modern slavery analytics
Davit Khachatryan,"Data, Operations & Supply Chain, Healthcare, Technology",Statistics; Machine Learning; Data Science; Educational Technologies; Patent Analytics; Text Mining; Statistical Modeling; Natural Language Processing; Radiomics Estimation; Quantitative Methods; Healthcare Imaging; Patent Innovation; Business Analytics; Educational Technology Deployment; Generative AI in Writing; Music-driven Data Science; Tumor Heterogeneity Estimation; Patent Document Alignment
Deborah Schreiber,"Accounting, Accounting, Law & Governance, Finance, Law",Commercial Litigation; Corporate Law; Accounting Law; Legal Education; Case Law Analysis; Legal Document Review; Litigation Strategy Development; Financial Services Litigation; Corporate Compliance; Accounting Dispute Resolution; 
Deena Bernstein,"Accounting, Law & Governance, Finance, Law, Sustainability",Securities Regulation; Corporate Governance; Financial Compliance; Administrative Law; Case Law Analysis; Litigation Strategy; Regulatory Compliance Framework; Legal Risk Assessment; Capital Markets; Financial Services; Securities Enforcement; Public Sector Litigation; Fintech Regulation; Cryptocurrency Regulation; ESG Compliance
Deepak Joglekar,"Economics, Finance, Finance & Economics, Sustainability, Technology",Agricultural economics; Resource economics; Environmental economics; Climate change economics; Development economics; Computable general equilibrium modeling; Econometric analysis; Non-market valuation; Preference elicitation; Economic modeling; Carbon tax policy; Offshore wind energy; Aquaculture; Sustainable seafood production; Coastal resource management; Socio-ecological systems; Carbon revenue recycling; Offshore wind economics; Sustainable seafood systems; Interdisciplinary environmental modeling
Denise Sharif,Humanities & Cultural Studies,History; Social History; Sociology; ; ; 
Dennis Mathaisel,"Marketing, Marketing & Consumer Behavior, Operations, Sustainability, Technology",Data Science; Business Analytics; Management Science; Quantitative Methods; Operations Research; Sustainability; Predictive Analytics; Machine Learning Methods; Data Visualization Techniques; R Programming; Resource Allocation Models; Scheduling Algorithms; Airline Operations; Military Sustainment; Crisis Communication; Political Marketing; Sustainable Product Marketing; Visual Marketing; Crisis Data Communication; Pandemic Data Science; Political Marketing Analytics; Sustainability Analytics
Dessislava Pachamanova,"Data, Operations & Supply Chain, Entrepreneurship, Finance, Healthcare, Operations, Technology",Business Analytics; Operations Research; Machine Learning; Risk Management; Computational Finance; Healthcare Operations; Optimization Methods; Reinforcement Learning; Prescriptive Analytics; Data Science; Markov Decision Processes; Portfolio Optimization; Healthcare Operations; Humanitarian Logistics; Emergency Medicine; Financial Services; Supply Chain Management; Entrepreneurial Ventures; Nonconvex Portfolio Optimization; Continuous State MDP Representation; Real-Time Healthcare Analytics; Humanitarian Analytics; Inclusive Operations Management; Entrepreneurial Prescriptive Analytics
Dhruv Grewal,"Finance, Marketing, Marketing & Consumer Behavior, Operations, Retail, Sustainability, Technology",E-commerce; Direct marketing; Pricing strategies; Value-based marketing; Services marketing; Retailing; Experimental design; Text mining; Eye-tracking; Multi-method research; Generative AI; Retail management; Shopper marketing; Food supply chain; Service experience; Social media campaigns; Digital retailing; Sustainability marketing; Consumer journey mapping; UN SDGs in marketing
Diana Hechavarria,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Technology",Strategic Entrepreneurship; Social Entrepreneurship; Gender and Entrepreneurship; Minority Entrepreneurship; Entrepreneurial Ecosystems; Panel Data Analysis; Global Entrepreneurship Monitor; Longitudinal Study; Citation Impact Analysis; Women-Owned Enterprises; Early-Stage Ventures; Small Business Economics; Nonprofit Organizations; Opportunity-to-Necessity Entrepreneurship; Cultural Tightness Emancipation; Temporal Enactment; Value-Practice Misalignment; Economic Freedom Impacts
Donna Stoddard,"Entrepreneurship, Finance, Innovation & Strategy, Operations, Technology",Electronic Commerce; Business Process Engineering; Digital Government; Information Technology Innovation; Enterprise Systems; IT Business Innovation; Case Study Research; Game Theoretic Analysis; Business Process Reengineering; Experiential Learning; Supply Chain Management; Public Safety; Financial Services; Manufacturing Industry; Minority Business Enterprises; Blockchain Applications; Internet of Things; Big Data Analytics; Digital Platform Ecosystems; GovTech Innovation; Social Entrepreneurship
Douglas Breault,"Leadership & Organizational Development, Technology",Contemporary Art; Photography; Painting; Curatorial Studies; Digital Imaging; Photography Processes; Painting Techniques; Design Software Tools; Museum Exhibitions; Gallery Curation; Arts Education; New Media Art; Experimental Photography; Video Art; Interactive Art
Dwight Gertz,"Entrepreneurship, Leadership & Organizational Development, Operations, Technology",Decision-making; Experiential learning; Organizational behavior; Entrepreneurship education; Military leadership; Case study analysis; Blended learning; Distance learning; Seminar instruction; Military education; Supply chain management; Naval logistics; Veteran entrepreneurship; Management consulting; Digital experiential learning; Civil-military relations; Hierarchical dissent; Blended MBA design
Ed Brzychcy,"Leadership & Organizational Development, Technology",Leadership Development; Organizational Behavior; Strategic Management; Organizational Design; Executive Coaching; Strategic Planning Frameworks; Organizational Diagnostics; Psychometric Assessments; Scale-up Implementation; Middle-market Enterprises; Management Consulting; Leadership Training Programs; Business Process Optimization; Adaptive Leadership Models; Disruption Strategy; Digital Transformation Leadership; Strategic Agility Practices
