Faculty Name,Profile Interests,Categories,All Keywords
Alina Aronova,,"Artificial Intelligence, Data, Finance, Healthcare, Operations, Operations & Supply Chain, Retail, Technology","AI-driven Operations, Blockchain Logistics, Business Analytics, Data Analytics, Decision Support Systems, Digital Transformation, Financial Services, Healthcare Logistics, Industry 4.0, Information Management, Manufacturing Processes, Operations Management, Process Modeling, Retail Operations, Statistical Analysis, Supply Chain Management"
Alisa Jno-Charles,,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Marketing","Business intelligence systems, Business software ventures, Content analysis, Discourse analysis, Entrepreneurial finance, Entrepreneurship studies, Hedge fund trading, Media studies, Media-driven legitimacy, Organizational communication, Peer-to-peer platforms, Private equity investment, Qualitative interviews, Real estate finance, Social media entrepreneurship, Strategic management, Venture identity development, Venture legitimacy signaling"
Alvaro Boitier,"International Economics, Macroeconomics, Finance","Economics, Finance, Finance & Economics, Technology","Central Banking, Computational Macroeconomic Modeling, Corporate Hedging, Corporate Risk Management, Cross-border Risk Sharing, Dynamic Stochastic General Equilibrium, Econometric Analysis, Financial Institutions, Global Shock Transmission, International Finance, International Trade, Macro-Financial Linkages, Macroeconomics, Multinational Corporations, Quantitative Risk Modeling, Trade Finance"
Amanda Weirup,"Gender, Helping Behavior, Negotiation Pedagogy, Negotiation, Organizational Behavior, Conflict Management","Entrepreneurship, Leadership & Organizational Development","case study analysis, conflict management, entrepreneurial ventures, entrepreneurship, experimental exercises, jargon literacy, management consulting, negotiation, negotiation pedagogy, organizational behavior, real-world negotiation analysis, simulation-based learning, startup negotiation"
Amy Blitz,"Entrepreneurship, Innovation Strategy, Macroeconomics, Economic Development","Entrepreneurship, Finance, Innovation & Strategy, Retail, Technology","Authoritarianism Studies, Business Disruption, Business Model Innovation, Case Study Methodology, Digital Transformation, Disruptive Innovation Analysis, Economic Development, Entrepreneurship, Financial Services, Innovation Ecosystems, Innovation Strategy, Macroeconomics, Manufacturing Industry, Political Economy, Qualitative Interviewing, Retail Sector, Rural Microfinance, Strategic Management, Technology Roadmapping, Transnational Alliances, Transportation Industry, Venture Capital"
Amy Weil,Real Estate Law,"Accounting, Finance, Law, Law & Governance","Blockchain in Law, Business Law, Case Study Analysis, Contract Drafting, Corporate Compliance, Corporate Governance, Doctrinal Research, Legal Database Research, Legal Ethics, LegalTech Solutions, Private Legal Practice, PropTech Integration, Real Estate Law, Real Estate Transactions, RegTech Innovation, Risk Management"
Andrew Carfang,,"Economics, Finance, Finance & Economics, Healthcare, Marketing, Retail, Technology","Consumer retail, Deal structuring, Dividend policy advisory, Equity financing, Financial modeling, Financial services, Forecasting models, Healthcare management, Healthcare services, Investment banking, Mergers and acquisitions, Portfolio optimization, Private equity, Private equity funds, Strategic management, Valuation analysis"
Andrew Corbett,"Entrepreneurial Cognition & Learning, Entrepreneurship Education, New Venture Creation, Corporate Entrepreneurship","Entrepreneurship, Entrepreneurship & Small Ventures, Technology","Cognitive apprenticeship, Corporate entrepreneurship, Corporate innovation, Entrepreneurial ecosystems, Entrepreneurial leadership, Entrepreneurial learning frameworks, Entrepreneurial mindset shift, Entrepreneurship education, Experiential learning, Hybrid ventures, Innovation management, Learning cycle models, Negative-emotion learning, Opportunity development processes, Process modeling, Qualitative case studies, Scaffolding approach, Small business management, Strategic renewal, Venture accelerators"
Andrew Zacharakis,"New Venture Creation, Venture Capital, Entrepreneurship","Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare, Technology","Case study, Conjoint analysis, Corporate venture capital, Digital technology ventures, Digital venture investing, Entrepreneurial ecosystems, Entrepreneurial finance, Entrepreneurship theory, Experimental design, Exploratory research, Food industry startups, Gendered risk-taking, Healthcare startups, New venture creation, Opportunity recognition, Private equity, Strategic bootstrapping, Survey methodology, Venture capital, Venture failure, Venture philanthropy"
Angela Randolph,Entrepreneurship,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Technology","Antisocial Behavior, Banking Sector, Business Process Improvement, Case Study Methodology, Corporate Entrepreneurship, Diversity Leadership, Entrepreneurial Cognition, Entrepreneurial Persistence, Entrepreneurship, Intersectional Entrepreneurship, Organizational Behavior, Social Impact Ventures, Social Network Analysis, Statistical Modeling, Survey Research, Treasury Management, Venture Capital, Workplace Prejudice"
Angelo Santinelli,"Marketing Strategy, Venture Capital, Entrepreneurship","Entrepreneurship, Entrepreneurship & Small Ventures, Marketing","Case Study Methodology, Design Thinking in Entrepreneurship, Early-Stage Financing, Empathy-Driven Education, Entrepreneurial Training, Entrepreneurship, Entrepreneurship Education, Experiential Entrepreneurship, Marketing Strategy, Pedagogical Design, Practice-Based Learning, Simulation Exercises, Startup Pitch Development, Term Sheet Analysis, Venture Capital, Venture Funding Processes"
Anirudh Dhebar,"Enterprise Transformation, High Technology Marketing, Pricing: Pricing In The Information Industries, Science, Technology, The Enterprise, Disruptive Change","Finance, Innovation & Strategy, Marketing, Technology","Business Strategy, Case study research, Computer industry, Consumer electronics, Disruptive innovation, Domain convergence, Ecosystem analysis, Enterprise Transformation, Financial services, Innovation Management, Life sciences, Media sector, Pharmaceutical industry, Platform analysis, Platform ecosystems, Pricing models, Pricing Strategy, Quantitative analysis, Science-technology ecosystems, Service innovation, Systems dynamics modeling, Technology Marketing"
Anjali Bal,"Marketing Strategy, Sports Marketing, Arts & Entertainment","Artificial Intelligence, Marketing, Marketing & Consumer Behavior, Technology","AI-based Psychographic Segmentation, Arts & Entertainment Marketing, Automated Text Analysis, Classroom Simulation, Consumer Behavior, Correspondence Analysis, Crowdsourcing, Culture Wars Branding, Digital Political Marketing, Entertainment Management, Fake News Sharing Behavior, Fine Art Market, Generative AI, Marketing Strategy, Political Marketing, Psychographic Segmentation, Public Affairs, Sports Management, Sports Marketing, Wine Marketing"
Anne Roggeveen,"Marketing Experiments, Marketing Research, Marketing Strategy, Retailing, Consumer Behavior","Finance, Marketing, Marketing & Consumer Behavior, Retail, Technology","Behavioral Decision Making, Brick-and-Mortar Retail, Case Study Method, Complaint De-escalation, Consumer Behavior, Consumer Psychology, Consumer Vulnerability, Digital Retailing, E-commerce, Marketing Experiments, Marketing Strategy, Metaverse Retailing, Omni-channel Retailing, Pricing Strategy, Retailing, Social Media Marketing, Survey Research, Text Mining"
Ariana Ghahari,,"Economics, Healthcare, Humanities & Cultural Studies","Archival Research, Caste and Water Studies, Colonial Urban History, Environmental History, Ethnohistorical Methods, Global History, Heritage Conservation, Historical GIS, Hygienic City Concept, Infrastructure Policy, Postcolonial Urban Ecology, Public Health, Socio-Cultural Water Management, Socio-Hydrology, South Asian Studies, Spatial Analysis, Textual Analysis, Urban History, Urban Planning, Water History, Water Management"
Asiel Sepulveda,"Global Art Histories, History Of Print Culture, Latin American Studies, Art History Pedagogy",Humanities & Cultural Studies,"Archival Research, Art Education Programs, Caribbean Visual Culture, Colonial Caribbean Imaginaries, Cultural Heritage Preservation, Global Art Histories, Historical Publishing, Latin American Studies, Lithographic Analysis, Material Culture Study, Museum Curation, Print Culture History, Print Media and Identity, Print-based Cosmopolitanism, Transregional Print Networks, Visual Content Analysis"
Aubrey Crosby,,"Accounting, Economics, Humanities & Cultural Studies, Marketing, Technology","Algorithmic Media Analysis, Applied Sociolinguistics, Critical Discourse Analysis, Digital Activism, Digital Ethnography, Discourse Analysis, Education Policy, Journalism Education, Media Literacy Assessment, Media Literacy Training, Media Representation, Misinformation Studies, News Coverage Studies, Protest Reporting, Qualitative Content Analysis, Social Media Discourse, Social Movement Communication"
Benjamin Levy,"Mathematical Biology, Modeling, Simulation, Applied Mathematics","Data, Healthcare, Operations & Supply Chain, Technology","Applied Mathematics, Compartmental Modeling, Data-Driven Ecological Forecasting, Data-Driven Modeling, Eco-Epidemiology, Ecological Modeling, Epidemiology, Fisheries Management, Identifiability Analysis, Mathematical Biology, Natural Resource Management, Numerical Simulation, One Health Modeling, Parameter Estimation, Public Health Surveillance, Quantitative Biology, Wildlife Conservation, Wildlife Population Dynamics"
Benjamin Spigel,,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Technology","Business Accelerators, Case Study, Comparative Analysis, Conceptual Modeling, Crisis Management, Economic Geography, Ecosystem Nestedness, Emotional Leadership, Entrepreneurial Ecosystems, Entrepreneurship Theory, Fintech, High-Growth Startups, Innovation Policy, Policy Mobility, Regional Development, Social Network Analysis, Spatial Analysis, Traditional Manufacturing, University Spin-Offs, Venture Acceleration"
Beth Goldstein,,"Entrepreneurship, Entrepreneurship & Small Ventures, Marketing, Technology","Accelerator Programs, Adult Learning, Business Coaching, Cannabis Entrepreneurship, Cannabis Social Equity, Case Study Method, Corporate Training, Digital Accelerator Models, Entrepreneurial Grit, Entrepreneurial Marketing, Entrepreneurial Mindset, Entrepreneurship Education, Experiential Learning, Experiential Training, Higher Education, NGO Capacity Building, Online Learning Platforms, Purpose-Driven Organizations, Social Equity, Supplier Diversity, Urban Economic Development, Venture Competitions, Youth Entrepreneurship"
Beth Wynstra,"Gender Studies, Modern Drama, Performance, Political Theater, Public Speaking, Rhetorical History, Theory, Eugene O'Neill","Humanities & Cultural Studies, Technology","American Theatre, Archival Research, Arts Education, Community Engagement, Digital Theatre, Dramaturgical Methods, Gender Studies, Intersectional Performance, LGBTQ Advocacy, Modern Drama, Pandemic Theatre Practices, Performance and Social Justice, Performance Ethnography, Performance Studies, Performing Arts Management, Political Theatre, Queer Performance Studies, Rhetorical Theory, Textual Analysis, Theater Production, Transdisciplinary Research"
Betsy Komjathy,,"Artificial Intelligence, Entrepreneurship, Leadership & Organizational Development, Technology","AI-driven feedback, Business communication, Coaching psychology, Communication pedagogy, Corporate training, Digital communication, Entrepreneurship education, Executive coaching, Hybrid learning, Instructional design, Leadership development, Organizational communication, Pitch analytics, Pitch coaching, Presentation software, Qualitative feedback, Research-based frameworks, Student development, Virtual presentation coaching, Workshop facilitation"
Bill Pacheco,,"Artificial Intelligence, Data, Finance, Healthcare, Operations, Operations & Supply Chain, Retail, Technology","Artificial Intelligence, Blockchain in Supply Chain, Business Process Optimization, Data Analytics, Digital Transformation, E-commerce Fulfillment, Enterprise Resource Planning, Financial Services Operations, Healthcare Operations, Industry 4.0 Technologies, Information Systems, Internet of Things, Lean Six Sigma, Machine Learning, Manufacturing Logistics, Operations Management, Retail Supply Chains, Service Operations Management, Simulation Modeling, Supply Chain Management"
Bob Halsey,"Financial Reporting, Accounting","Accounting, Finance, Law & Governance, Sustainability, Technology","Accounting Education, Advanced Accounting, Budget Modeling, Budget Planning, Case Method Teaching, Corporate Financial Reporting, Digital Financial Reporting, ESG Reporting, Financial Accounting, Financial Forecasting, Financial Services, Financial Statement Analysis, Integrated Reporting, Investment Analysis, Management Accounting, Pro Forma Accounting, Pro Forma Modeling, Ratio Analysis, Sustainability Accounting, Sustainability Reporting"
Bojan Amovic,"Intellectual Property Strategy, Law, Predictive Models For Decision Making In Law Practice, Quantitative Methods, Technology, Innovation Management","Data, Healthcare, Law, Operations, Operations & Supply Chain, Technology","Decision support systems, Defense industry operations, Electronic consumables, Engineering program management, Innovation management, Intellectual property analytics, Intellectual property strategy, Medical device development, Operations management, Predictive analytics, Predictive legal analytics, Predictive simulation modeling, Quantitative analysis, Quantitative legal modeling, Quantitative modeling, Regulatory simulation modeling, Simulation-based optimization, Techno-legal integration, Telecommunications network management"
Borbala Mahr,,"Economics, Entrepreneurship, Finance, Finance & Economics, Healthcare, Marketing, Sustainability, Technology","Climate Epidemiology, Counterfactual Simulation, Development Economics, Early-Life Exposure Studies, Econometric Modeling, Energy Subsidy Reform, Entrepreneurship Promotion, Environmental Economics, Environmental Justice, Environmental Risk Management, Gender Economics, Gendered Pandemic Effects, Health Economics, Labor Economics, Labor Market Policy, Panel Survey Analysis, Public Health Interventions, Regression Analysis, Socio-Ecological Systems, Structural Analysis"
Brad Johnson,,"Data, Entrepreneurship, Operations, Operations & Supply Chain, Retail, Technology","Blockchain adoption, Blockchain traceability, Corporate training services, Digital platform ecosystems, E-commerce fulfillment, E-commerce strategy, Entrepreneurship, Fulfillment network design, Game theoretic modeling, Game theoretic supply chains, International business, Inventory optimization, Multi-channel retail, On-demand logistics, Online grocery delivery, Operations management, Order fulfillment automation, Precious metals distribution, Private label credit, Retail fintech integration, Supply chain management"
Bradley George,"Corporate Entrepreneurship, Environmental Entrepreneurship, New Venture Creation, Sustainability, Sustainable Entrepreneurship, Clean Technology","Entrepreneurship, Entrepreneurship & Small Ventures, Technology","Case Study Research, Circular Economy, Clean Technology, Corporate Entrepreneurship, Counterintuitive Leadership, Diesel Engine Industry, Early Venture Analysis, Entrepreneurship Education, Environmental Entrepreneurship, Executive Education, Family Businesses, Impact Investing, Research Methodology, Small Food Businesses, Social Innovation, Strategic Decision-Making, Strategic Management, Sustainable Entrepreneurship, Venture Capital Firms"
Brandon Schmidt,,"Artificial Intelligence, Data, Operations & Supply Chain, Technology","Academic Program Development, AI in Education, Business Analytics, Computational Simulation, Data Analytics, Data Visualization, Educational Data Mining, Educational Technology, Learning Analytics, Machine Learning, Mathematics, Quantitative Research, Statistical Modeling, STEM Education"
Bret Bero,"Consulting, Private Equity, Restructuring, Strategic Management, Business Turnarounds","Finance, Healthcare, Innovation & Strategy, Marketing, Technology","Acquisition Integration, Alliance Management, Business Transformation, Business Turnaround, Consumer Goods, Disruptive Change, Executive Transition Planning, Financial Due Diligence, Financial Services, Healthcare Sector, Hospitality Industry, Management Consulting, Manufacturing Industry, Operational Improvement Frameworks, Organizational Change, Private Equity, Strategic Management, Strategic Problem Solving, Technology Sector, Turnaround Methodologies"
Brigitte Muehlmann,"Accounting, Doing Business Globally, Human Innovations, Patented Inventions For Entrepreneurs, Taxation, Technological Innovations, Inventions for Entrepreneurs","Accounting, Artificial Intelligence, Entrepreneurship, Finance, Law & Governance, Sustainability, Technology","Accounting Education, AI in Accounting, Bibliometric Analysis, Business Method Patenting, CFO Advisory, Corporate Taxation, Data Analytics, Entrepreneurial Services, ESG Technology Integration, Financial Reporting, Forensic Accounting, Intangible Asset Valuation, Intellectual Property Accounting, Internal Auditing, Patent Analytics, Statistical Analysis, Sustainability Reporting, Taxation Research, Technology Agility, Text Mining"
Bruce Herzfelder,,"Economics, Entrepreneurship, Finance, Finance & Economics, Law, Marketing, Technology","Corporate Finance, Corporate Valuation, Discounted Cash Flow Analysis, Econometric Modeling, Emerging Markets Finance, Employee Stock Ownership, Equity Duration Analysis, Higher Education Finance, IT Venture Capital, Option Pricing Models, Real Options, Real Options Valuation, Regulatory Economics, Utility Regulation, Venture Capital"
Bryan Kanney,,Leadership & Organizational Development,
Candace Famiglietti,"Gender, Global Environmental Governance, Human Security, International Environmental Law, The Rights Of Indigenous Peoples, Environment","Accounting, Economics, Law, Law & Governance, Marketing, Sustainability","Comparative case studies, Consumer–environment interactions, Corporate sustainability, Discourse analysis, Environmental policy consulting, Gender and environment, Gendered consumption studies, Global environmental governance, Human security, Illegal wildlife trade governance, Indigenous rights, International environmental law, Intersectional environmental governance, NGO program implementation, Policy analysis, Qualitative interviews, Stakeholder analysis, Waste crime governance, Waste management policy, Wildlife trafficking prevention"
Candida Brush,"Entrepreneurship Education, Entrepreneurship, Gender, Healthcare Entrepreneurship, Nascent Ventures, New Venture Creation, Pedagogy, Venture Capital Financing, Angel Financing","Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Healthcare","Angel Investment, CleanTech Entrepreneurship, Comparative Analysis, Content Analysis, COVID-19 Entrepreneurship, Entrepreneurial Finance, Entrepreneurship, Entrepreneurship Education, Food Entrepreneurship, Gendered Pitching Dynamics, Healthcare Entrepreneurship, Healthcare Ventures, Longitudinal Study, Mixed Methods, Race and Entrepreneurship, Small Business Development, Survey Research, Sustainable Entrepreneurship, Venture Capital Funding, Women Entrepreneurship"
Caroline Daniels,"Entrepreneurship, Fashion, Future Global Trends, Climate Change","Entrepreneurship, Entrepreneurship & Small Ventures, Sustainability, Technology","Business Analytics, Case Study Research, Circular Fashion Economy, Climate Entrepreneurship, Climate Simulation Modeling, Data Analytics, Design Thinking, Entrepreneurial Ecosystems, Entrepreneurial Strategy, Environmental Sustainability, Executive Decision-Making, Fashion Entrepreneurship, Global Business Strategy, New Venture Acceleration, Scalable Venture Models, Scenario Planning, Strategic Foresight, Sustainable Fashion Industry, Sustainable Supply Chains"
Caroline Owens,,Leadership & Organizational Development,
Charles Winrich,"Physics Education, Science, Astrophysics","Humanities & Cultural Studies, Technology","Astrophysics, Curriculum development, Digital humanities in physics, Educational outreach programs, Historical case studies, History of Science, History-integrated STEM education, Philosophy of Physics, Physics Education, Qualitative research methods, Science curriculum development, Science fiction media analysis, Science fiction pedagogy, Science Literacy, Semiconductor manufacturing, Service-learning pedagogy, Service-learning programs, Socio-ecological systems education, Teacher professional development"
Cheryl Kirshner,Business Law,"Accounting, Economics, Healthcare, Law, Law & Governance, Technology","Business Law Education, Case Study Method, Comparative Legal Analysis, Doctrinal Legal Analysis, Health Data Privacy, Health Law, Higher Education Sector, Intellectual Property Law, International Trade Compliance, International Trade Law, Legal Profession Studies, Public Health Policy, Scholarly Publication, Tobacco Plain Packaging, Tobacco Regulation, TRIPS Article 20 Disputes"
Cheryl Heller,,"Artificial Intelligence, Data, Finance, Healthcare, Operations, Operations & Supply Chain, Technology","AI in Operations, Blockchain Technology, Business Analytics, Data Analytics, Decision Support Systems, Digital Transformation, Financial Services, Healthcare Operations, Industry 4.0, Information Management, Manufacturing Systems, Operations Management, Process Mining, Service Operations, Simulation Modeling, Supply Chain Management"
Cheryl Kiser,,"Entrepreneurship, Entrepreneurship & Small Ventures, Finance, Sustainability","corporate social responsibility, corporate sustainability initiatives, cross-sector collaboration, CSR strategy implementation, entrepreneurial ecosystems, entrepreneurial education, impact measurement, program evaluation, qualitative case studies, return on investment analysis, shared value creation, small business development, social enterprise management, social entrepreneurship, sustainability management"
Christopher Hennessey,"Estate Planning, Financial, Investments, Accounting","Accounting, Finance, Finance & Economics, Technology","Accounting Standards, Blockchain Estate Transfers, Estate Administration, Estate Planning, Financial Advisory Services, Financial Modeling, Financial Planning, FinTech Adoption, Investment Strategies, Portfolio Optimization, Private Wealth Management, Quantitative Analysis, RegTech Solutions, Retirement Planning, Risk Assessment, Robo-Advisory Services, Sustainable Finance, Trust Services, Valuation Methods, Wealth Management"
Clare Huang,,"Artificial Intelligence, Economics, Entrepreneurship, Finance, Innovation & Strategy, Marketing, Technology","AI ethics, Business strategy, Cloud computing, Cloud services, Corporate communications policy, Customer experience management, Digital entrepreneurship, Digital technology adoption, Financial services, Innovation management, Insider information management, IT consulting, IT planning, Marketing management, Mobile app development, Mobile applications, Operational modeling, Sales management, Social media platforms, Venture capital"
Craig Bida,,"Entrepreneurship, Entrepreneurship & Small Ventures","Entrepreneurship Education, Small Business Management, Venture Creation"
Cristina Alberti,"Auditing, Organizational Culture, Accounting","Accounting, Finance, Law & Governance, Operations, Technology","Academic Job Market, Accounting Academia, Accounting Education, Accounting Firm Operations, Aerospace & Defense, Auditing, Case Study Methodology, Data Cleaning, Equity in Academia, Financial Accounting, Inclusive Hiring Practices, Online Toxic Communication, Organizational Culture, Public Company Audits, Qualitative Research, Spreadsheet Analytics, Technology Industry, Thematic Analysis"
Daniel Auguste,,"Economics, Entrepreneurship, Entrepreneurship & Small Ventures, Technology","cross-national comparative analysis, economic inequality, empirical analysis, entrepreneurial ecosystem development, entrepreneurial inequality studies, entrepreneurship studies, gendered capitalism, new venture creation, organizational sociology, policy spillover effects, poverty reduction initiatives, quantitative survey methods, religious socioeconomic mobility, SME scaling strategies, social stratification, stratification modeling, venture growth strategies, workforce reskilling programs"
Daniel Eccles,,"Entrepreneurship, Finance, Finance & Economics, Law, Marketing, Technology","Asset Securitization, Blockchain Finance, Capital Markets, Crypto Crowdfunding, Derivative Pricing, Derivatives, Digital Asset Markets, Econometric Analysis, Emerging Markets, Entrepreneurial Finance, Financial Time Series Analysis, FinTech Innovation, Foreign Exchange Risk, Institutional Investment, International Finance, Latin American Markets, Portfolio Management, Quantitative Modeling, Risk Management, Stock Market Regulation"
Daniel Rice,,"Artificial Intelligence, Data, Operations, Operations & Supply Chain, Sustainability, Technology","2D Image Analysis, AI for Multi-Domain Operations, Computer Vision, Contested Environment Analysis, Depth Estimation, Depth-Aware Scene Understanding, Generative Models, Generative Semantic Segmentation, Human Factors Engineering, Image-Based PPE Design, Machine Learning, Multi-Domain Operations, Object-Aware Clustering, Personal Protective Equipment, Respirator Fit Assessment, Respirator Fit Modeling, Scene Understanding, Semantic Segmentation, Workplace Safety"
David Blodgett,"Diabetes, Genetics, Molecular Biology, Sustainability, Systems Thinking, Biotechnology","Leadership & Organizational Development, Sustainability","Antigen Presentation Assays, Biotechnology, Diabetes Research, Diabetes Therapeutics, Endocrine Cell Isolation, Genetics, Humanized Diabetes Models, Humanized Mouse Models, Immunology, Interdisciplinary Sustainability Education, Molecular Biology, Pharmaceutical Industry, Proteomic Analysis, Regenerative Medicine, Socio-Ecological Systems, Sustainable Agriculture, Sustainable Food Systems, Systems Thinking, Transcriptome Analysis"
David Kerrigan,,"Entrepreneurship, Leadership & Organizational Development","action research, actionable allyship, corporate diversity training, critical race theory, curriculum design, DEIJ training platforms, diversity equity inclusion, entrepreneurship education, faculty professional development, higher education leadership, inclusive leadership development, inclusive pedagogy frameworks, K-12 educational resources, online learning platforms, organizational behavior, program evaluation, qualitative interviews, student venture programs"
David Nersessian,"Communication, Corporate Governance, Digital Innovation, Effective Processes, Higher Education Leadership, Human Rights, Integrated Sustainability, Legal Ethics, New Technologies, Public International Law, Shared Governance, Business","Accounting, Artificial Intelligence, Finance, Law, Law & Governance, Operations, Sustainability, Technology","Artificial intelligence, Business law, Corporate dispute resolution, Corporate governance, Digital platform design, Ethical AI development, Global supply chain compliance, Higher education governance, Human rights due diligence, Human rights law, Integrated sustainability, Legal ethics, Machine learning, Modern slavery analytics, Nonprofit digital platforms, Public international law, Risk management frameworks, Social sharing economy, Sustainability in education, Sustainable development engagement, Systems thinking"
Davit Khachatryan,"Educational Technologies, Machine Learning, Patents, Statistics, Data Science","Artificial Intelligence, Data, Healthcare, Operations & Supply Chain, Technology","Business Analytics, Data Science, Educational Technologies, Educational Technology Deployment, Generative AI in Writing, Healthcare Imaging, Machine Learning, Music-driven Data Science, Natural Language Processing, Patent Analytics, Patent Document Alignment, Patent Innovation, Quantitative Methods, Radiomics Estimation, Statistical Modeling, Statistics, Text Mining, Tumor Heterogeneity Estimation"
Deborah Schreiber,,"Accounting, Finance, Law, Law & Governance","Accounting Dispute Resolution, Accounting Law, Case Law Analysis, Commercial Litigation, Corporate Compliance, Corporate Law, Financial Services Litigation, Legal Document Review, Legal Education, Litigation Strategy Development"
Deena Bernstein,,"Accounting, Finance, Law, Law & Governance, Sustainability","Administrative Law, Capital Markets, Case Law Analysis, Corporate Governance, Cryptocurrency Regulation, ESG Compliance, Financial Compliance, Financial Services, Fintech Regulation, Legal Risk Assessment, Litigation Strategy, Public Sector Litigation, Regulatory Compliance Framework, Securities Enforcement, Securities Regulation"
Deepak Joglekar,,"Economics, Finance, Finance & Economics, Sustainability, Technology","Agricultural economics, Aquaculture, Carbon revenue recycling, Carbon tax policy, Climate change economics, Coastal resource management, Computable general equilibrium modeling, Development economics, Econometric analysis, Economic modeling, Environmental economics, Interdisciplinary environmental modeling, Non-market valuation, Offshore wind economics, Offshore wind energy, Preference elicitation, Resource economics, Socio-ecological systems, Sustainable seafood production, Sustainable seafood systems"
Denise Sharif,,Humanities & Cultural Studies,"History, Social History, Sociology"
Dennis Mathaisel,"Data Science, Quantitative Methods, Business Analytics","Artificial Intelligence, Marketing, Marketing & Consumer Behavior, Operations, Sustainability, Technology","Airline Operations, Business Analytics, Crisis Communication, Crisis Data Communication, Data Science, Data Visualization Techniques, Machine Learning Methods, Management Science, Military Sustainment, Operations Research, Pandemic Data Science, Political Marketing, Political Marketing Analytics, Predictive Analytics, Quantitative Methods, R Programming, Resource Allocation Models, Scheduling Algorithms, Sustainability, Sustainability Analytics, Sustainable Product Marketing, Visual Marketing"
